"ID_на_сайте","Наименование","Ссылка","Промо_цена","Регулярная_цена","Бренд"
228115,"Чай Tess Sunrise черный листовой, 200г",https://online.metro-cc.ru/products/tess-chernyj-sunrise-200g,,29600,TESS
493756,"Чай Tess Thyme черный с чабрецом и цедрой лимона (1.5г x 100шт), 150г",https://online.metro-cc.ru/products/tess-chernyj-s-chabrecom-cedroj-limona-thyme-100-15g,23900,33900,TESS
412086,"Чай Tess ассорти из 12 вкусов 60шт, 102г",https://online.metro-cc.ru/products/tess-assorti-iz-12-vkusov-v-kartonnoj-korobke-v-sashe-60-pak,36900,62900,TESS
618847,"Чай Азерчай Букет черный байховый, 100г",https://online.metro-cc.ru/products/100g-azerchaj-buket-chern-bajhovyj-kar-up,,14600,АЗЕРЧАЙ
424940,"Чай Азерчай Букет черный байховый, 400г",https://online.metro-cc.ru/products/art_578790,,56900,АЗЕРЧАЙ
313076313,"Чай Азерчай черный байховый с бергамотом (2г x 25шт), 50г",https://online.metro-cc.ru/products/25h2g-chay-azerchay-chyornyy-bayhovyy-s-bergamotom-paket,,11600,АЗЕРЧАЙ
313339538,"Чай Азерчай черный букет (2г x 100шт), 200г",https://online.metro-cc.ru/products/100h2g-chay-azerchay-chyornyy-buket-paketirovannyy,,34900,АЗЕРЧАЙ
313874895,"Чай Азерчай черный букет (2г x 25шт), 50г",https://online.metro-cc.ru/products/25h2g-chay-azerchay-chyornyy-buket-paketirovannyy,,11100,АЗЕРЧАЙ
425054,"Чай Азерчай черный листовой с чабрецом, 100г",https://online.metro-cc.ru/products/art_578785,,17700,АЗЕРЧАЙ
313874890,"Чай Азерчай черный листовой, 200г",https://online.metro-cc.ru/products/200g-chay-azerchay-chyornyy-listovoy,,35900,АЗЕРЧАЙ
425386,"Чай Азерчай черный с ароматом бергамота (2г х 100шт), 200г",https://online.metro-cc.ru/products/art_578788,,33900,АЗЕРЧАЙ
313874885,"Чай Азерчай черный с чабрецом (2г x 100шт), 200г",https://online.metro-cc.ru/products/100h2g-chay-azerchay-chyornyy-s-chabretsom-paketirovannyy,,35900,АЗЕРЧАЙ
614906,"Чай Алтайвита Витаминный коктейль травяной, 40г",https://online.metro-cc.ru/products/40g-altajvita-travyanoj-vitamin-koktejl,,17700,АЛТАЙВИТА
614750,"Чай Алтайвита Солнечный день травяной, 40г",https://online.metro-cc.ru/products/40g-altajvita-travyanoj-solnechyj-den,,17700,АЛТАЙВИТА
614789,"Чай Алтайвита Хохот шамана травяной, 40г",https://online.metro-cc.ru/products/40g-altajvita-travyanoj-hohot-shamana,,17700,АЛТАЙВИТА
8910359,"Чай Лисма насыщенный пакетированный (1.8г x 25шт), 45г",https://online.metro-cc.ru/products/chay-lisma-nasyschennyy-paketirovannyy-25-x-18g,,6490,ЛИСМА
112138,"Чай Лисма черный крепкий (2г х 25шт), 50г",https://online.metro-cc.ru/products/lisma-chernyj-krepkij-25h2g,4490,6990,ЛИСМА
406539,"Чай Майский Корона Российской Империи черный (2г х 25 шт), 50г",https://online.metro-cc.ru/products/chernyj-majskij-korona-rossijskoj-imperii-25x2g,5490,6090,МАЙСКИЙ
203489,"Чай Майский Корона Российской Империи черный крупнолистовой, 100г",https://online.metro-cc.ru/products/majskij-chernyj-korona-rossijskoj-imperii-100g,11900,12300,МАЙСКИЙ
106478,"Чай Майский Корона Российской Империи черный цейлонский крупнолистовой (2г х 100 шт), 200г",https://online.metro-cc.ru/products/majskij-chernyj-korona-rossijskoj-imperii-100-pak-395514,18900,21900,МАЙСКИЙ
204515,"Чай Майский Корона Российской Империи черный цейлонский крупнолистовой, 200г",https://online.metro-cc.ru/products/majskij-chernyj-korona-rossijskoj-imperii-200g,19900,25100,МАЙСКИЙ
120991,"Чай Майский Цейлон черный отборный (2г x 100шт), 200г",https://online.metro-cc.ru/products/majskij-chernyj-otbornyj-cejlon-100x2g,18900,21900,МАЙСКИЙ
601585538,"Чай Майский зимнее ассорти в сашетах, 31г",https://online.metro-cc.ru/products/chay-mayskiy-zimnee-assorti-v-sashetah-31g,,19900,МАЙСКИЙ
